Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
38164,2301,1110,80,21,9999,0,1258,0,3900,4906,4,3,1478,490,1555,0,0,54,72,47,0,4,21,0,0,1435,1584,16948,1443,0,34,45,30,21,21,19,21,34,20,99,0,0,12994,1187,0,1057,46,1103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
39003,2301,1110,80,21,9999,0,1281,0,3900,4995,4,3,1478,490,1555,0,0,54,72,46,0,3,22,0,0,1435,1584,16289,1439,0,25,43,34,39,19,23,10,25,14,97,0,0,12994,1187,0,1057,46,1103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
40003,2301,1110,80,21,9999,0,1291,0,3896,5029,4,3,1478,490,1555,0,0,53,72,47,0,5,21,0,0,1435,1584,15966,1450,0,36,46,36,21,25,10,36,25,9,99,0,0,12994,1187,0,1057,46,1103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
41003,2301,1110,80,21,9999,0,1329,0,3896,5177,4,3,1478,490,1353,0,0,54,72,47,0,1,18,0,0,1435,1584,16318,1448,0,31,26,34,31,28,31,19,30,17,99,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
42003,2301,1110,80,21,9999,0,1345,0,3896,5240,4,3,1478,490,1555,0,0,54,72,47,0,1,18,0,0,1435,1584,16198,1452,0,31,50,40,23,25,31,5,30,18,94,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
43003,2301,1110,80,21,9999,0,1273,0,3891,4953,4,3,1478,490,1555,0,0,54,72,47,0,3,22,0,0,1435,1584,16622,1448,0,28,36,31,34,31,21,22,28,14,99,0,0,12994,1187,0,1057,46,1103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
44003,2301,1110,80,21,9999,0,1280,0,3895,4985,4,3,1478,490,1555,0,0,54,72,47,0,0,18,0,0,1435,1584,16454,1450,0,25,34,27,30,28,14,25,25,14,96,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
45003,2301,1110,80,21,9999,0,1333,0,3895,5192,4,3,1478,490,1555,0,0,54,72,47,0,5,19,0,0,1435,1584,16154,1440,0,37,15,30,27,23,37,14,36,20,98,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
46004,2301,1110,80,21,9999,0,1326,0,3894,5163,4,3,1478,490,1353,0,0,54,72,47,0,4,21,0,0,1435,1584,15727,1445,0,30,40,15,28,37,19,10,30,9,98,0,0,12994,1187,0,1057,46,1103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
47003,2301,1110,80,21,9999,0,1302,0,3894,5069,4,3,1478,490,1555,0,0,54,72,47,0,0,18,0,0,1435,1584,16246,1446,0,31,41,21,23,30,19,31,0,13,99,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
48003,2301,1110,80,21,9999,0,1299,0,3894,5058,4,3,1478,490,1555,0,0,54,72,47,0,0,18,0,0,1435,1584,16294,1449,0,25,28,37,26,28,23,19,25,5,99,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
49003,2301,1110,80,21,9999,0,1336,0,3891,5198,4,3,1478,490,1555,0,0,54,72,47,0,0,18,0,0,1435,1584,16819,1441,0,31,26,41,31,25,23,28,31,0,98,0,0,12994,1187,0,1057,46,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
50004,2301,1110,80,21,9999,0,1316,0,3891,5120,4,3,1478,490,1555,0,0,53,72,47,0,4,23,0,0,1435,1584,16550,1434,0,31,37,28,34,37,31,19,14,17,99,0,0,12994,1187,0,1057,46,1103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
